รหัสเขต,รหัสโรงเรียน,ประเภท,รวม
2564-3,86010020,โรงเรียนสังกัดเอกชน,0
2564-3,86010020,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010020,กศน.,0
2564-3,86010020,อื่น ๆ,0
2564-3,86010020,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010021,นักเรียนจบทั้งหมด,181
2564-3,86010021,โรงเรียนเดิม,87
2564-3,86010021,โรงเรียนอื่น สังกัด สพฐ.,85
2564-3,86010021,โรงเรียนสังกัดเอกชน,0
2564-3,86010021,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010021,กศน.,0
2564-3,86010021,อื่น ๆ,9
2564-3,86010021,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010023,นักเรียนจบทั้งหมด,14
2564-3,86010023,โรงเรียนเดิม,0
2564-3,86010023,โรงเรียนอื่น สังกัด สพฐ.,14
2564-3,86010023,โรงเรียนสังกัดเอกชน,0
2564-3,86010023,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010023,กศน.,0
2564-3,86010023,อื่น ๆ,0
2564-3,86010023,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010024,นักเรียนจบทั้งหมด,8
2564-3,86010024,โรงเรียนเดิม,0
2564-3,86010024,โรงเรียนอื่น สังกัด สพฐ.,3
2564-3,86010024,โรงเรียนสังกัดเอกชน,0
2564-3,86010024,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010024,กศน.,0
2564-3,86010024,อื่น ๆ,0
2564-3,86010024,โรงเรียนอื่น สังกัด อบท.,5
2564-3,86010025,นักเรียนจบทั้งหมด,21
2564-3,86010025,โรงเรียนเดิม,13
2564-3,86010025,โรงเรียนอื่น สังกัด สพฐ.,8
2564-3,86010025,โรงเรียนสังกัดเอกชน,0
2564-3,86010025,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010025,กศน.,0
2564-3,86010025,อื่น ๆ,0
2564-3,86010025,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010027,นักเรียนจบทั้งหมด,9
2564-3,86010027,โรงเรียนเดิม,0
2564-3,86010027,โรงเรียนอื่น สังกัด สพฐ.,9
2564-3,86010027,โรงเรียนสังกัดเอกชน,0
2564-3,86010027,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010027,กศน.,0
2564-3,86010027,อื่น ๆ,0
2564-3,86010027,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010029,นักเรียนจบทั้งหมด,7
2564-3,86010029,โรงเรียนเดิม,0
2564-3,86010029,โรงเรียนอื่น สังกัด สพฐ.,7
2564-3,86010029,โรงเรียนสังกัดเอกชน,0
2564-3,86010029,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010029,กศน.,0
2564-3,86010029,อื่น ๆ,0
2564-3,86010029,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010030,นักเรียนจบทั้งหมด,7
2564-3,86010030,โรงเรียนเดิม,0
2564-3,86010030,โรงเรียนอื่น สังกัด สพฐ.,7
2564-3,86010030,โรงเรียนสังกัดเอกชน,0
2564-3,86010030,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010030,กศน.,0
2564-3,86010030,อื่น ๆ,0
2564-3,86010030,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010032,นักเรียนจบทั้งหมด,7
2564-3,86010032,โรงเรียนเดิม,0
2564-3,86010032,โรงเรียนอื่น สังกัด สพฐ.,7
2564-3,86010032,โรงเรียนสังกัดเอกชน,0
2564-3,86010032,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010032,กศน.,0
2564-3,86010032,อื่น ๆ,0
2564-3,86010032,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010036,นักเรียนจบทั้งหมด,13
2564-3,86010036,โรงเรียนเดิม,0
2564-3,86010036,โรงเรียนอื่น สังกัด สพฐ.,11
2564-3,86010036,โรงเรียนสังกัดเอกชน,0
2564-3,86010036,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010036,กศน.,1
2564-3,86010036,อื่น ๆ,1
2564-3,86010036,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010037,นักเรียนจบทั้งหมด,10
2564-3,86010037,โรงเรียนเดิม,9
2564-3,86010037,โรงเรียนอื่น สังกัด สพฐ.,1
2564-3,86010037,โรงเรียนสังกัดเอกชน,0
2564-3,86010037,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010037,กศน.,0
2564-3,86010037,อื่น ๆ,0
2564-3,86010037,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010039,นักเรียนจบทั้งหมด,12
2564-3,86010039,โรงเรียนเดิม,0
2564-3,86010039,โรงเรียนอื่น สังกัด สพฐ.,11
2564-3,86010039,โรงเรียนสังกัดเอกชน,1
2564-3,86010039,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010039,กศน.,0
2564-3,86010039,อื่น ๆ,0
2564-3,86010039,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010040,นักเรียนจบทั้งหมด,22
2564-3,86010040,โรงเรียนเดิม,22
2564-3,86010040,โรงเรียนอื่น สังกัด สพฐ.,0
2564-3,86010040,โรงเรียนสังกัดเอกชน,0
2564-3,86010040,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010040,กศน.,0
2564-3,86010040,อื่น ๆ,0
2564-3,86010040,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010041,นักเรียนจบทั้งหมด,12
2564-3,86010041,โรงเรียนเดิม,0
2564-3,86010041,โรงเรียนอื่น สังกัด สพฐ.,7
2564-3,86010041,โรงเรียนสังกัดเอกชน,3
2564-3,86010041,โรงเรียนพระปริยัติธรรม แผนกสามัญ,0
2564-3,86010041,กศน.,0
2564-3,86010041,อื่น ๆ,2
2564-3,86010041,โรงเรียนอื่น สังกัด อบท.,0
2564-3,86010042,นักเรียนจบทั้งหมด,15
2564-3,86010042,โรงเรียนเดิม,14
2564-3,86010042,โรงเรียนอื่น สังกัด สพฐ.,1
2564-3,86010042,โรงเรียนสังกัดเอกชน,0
