1,2564,1086110029,99.5,97.5,98.5
1,2564,1086110068,97.4,97.2,97.3
1,2564,1086110101,98,89,93.5
1,2564,1086110071,94.6,92.2,93.4
1,2564,1086110141,88.46,96.76,92.61
1,2564,1086110106,91.04,93.33,92.19
1,2564,1086110074,90.4,93.6,92
1,2564,1086110107,94,90,92
1,2564,1086110073,90.33,93,91.66
1,2564,1086110111,87.6,95.5,91.55
1,2564,1086110104,86.32,96.56,91.44
1,2564,1086110089,90.14,91.48,90.81
1,2564,1086110132,91.11,88.44,89.77
1,2564,1086110097,91.14,85.04,88.09
1,2564,1086110103,81.47,93.89,87.68
1,2564,1086110056,83.33,91.33,87.33
1,2564,1086110035,80.12,92.75,86.43
1,2564,1086110110,83.33,89.11,86.22
1,2564,1086110130,82.88,89.55,86.22
1,2564,1086110014,88.8,83.6,86.2
1,2564,1086110129,84,88,86
1,2564,1086110069,80.61,88.61,84.61
1,2564,1086110080,80.57,88.28,84.42
1,2564,1086110077,81.33,87.33,84.33
1,2564,1086110034,79.46,88.26,83.86
1,2564,1086110004,84.4,82.6,83.5
1,2564,1086110023,82.82,84,83.41
1,2564,1086110018,77.97,87.6,82.78
1,2564,1086110087,81.52,83.81,82.67
1,2564,1086110119,83.62,80.69,82.15
1,2564,1086110030,86.5,75.62,81.06
1,2564,1086110012,84.33,77,80.66
1,2564,1086110083,78.44,82.22,80.33
1,2564,1086110017,81.5,76.5,79
1,2564,1086110072,75,81.16,78.08
1,2564,1086110100,74.08,81.83,77.95
1,2564,1086110036,79.76,75.64,77.7
1,2564,1086110005,76.8,78.4,77.6
1,2564,1086110059,72.4,82.4,77.4
1,2564,1086110051,72.25,81.5,76.87
1,2564,1086110102,64.87,88.62,76.75
1,2564,1086110136,70.33,83.16,76.75
1,2564,1086110109,73.33,80,76.66
1,2564,1086110135,73.18,80.06,76.62
1,2564,1086110058,71.55,80.66,76.11
1,2564,1086110041,66.85,84.85,75.85
1,2564,1086110003,71.27,80.18,75.72
1,2564,1086110013,70.35,79.88,75.11
1,2564,1086110032,63.33,86.8,75.06
1,2564,1086110124,75.09,74.72,74.9
1,2564,1086110076,68.8,79.48,74.14
1,2564,1086110084,71.33,76.66,74
1,2564,1086110143,65.26,81.33,73.3
1,2564,1086110093,70.28,75.42,72.85
1,2564,1086110283,64.46,80.14,72.3
1,2564,1086110021,62.72,81.63,72.18
1,2564,1086110070,68.86,75.13,72
1,2564,1086110098,76.66,66,71.33
1,2564,1086110047,67.33,75.33,71.33
1,2564,1086110007,66.87,75.49,71.18
1,2564,1086110282,68.81,73.36,71.09
1,2564,1086110138,68.36,73.72,71.04
1,2564,1086110008,61.95,79.73,70.84
1,2564,1086110145,67.66,73.66,70.66
1,2564,1086110115,64,77.33,70.66
1,2564,1086110063,73.69,67.23,70.46
1,2564,1086110006,68.9,71.45,70.18
1,2564,1086110118,59.53,80,69.76
1,2564,1086110002,64.42,75,69.71
1,2564,1086110105,74.9,64.2,69.55
1,2564,1086110065,53.75,85,69.37
1,2564,1086110108,63.81,73.86,68.84
1,2564,1086110033,65.64,71.52,68.58
1,2564,1086110001,69.89,66.59,68.24
1,2564,1086110015,76.8,58.6,67.7
1,2564,1086110081,62,72.8,67.4
1,2564,1086110016,65.5,69.25,67.37
1,2564,1086110025,52.6,82,67.3
1,2564,1086110054,61.33,73,67.16
1,2564,1086110128,63.33,71,67.16
1,2564,1086110140,66.08,68.08,67.08
1,2564,1086110125,58.66,74.83,66.75
1,2564,1086110123,66.24,65.2,65.72
1,2564,1086110085,56.25,75.01,65.63
1,2564,1086110121,59.63,70.36,65
1,2564,1086110052,56.9,72.9,64.9
1,2564,1086110117,57.25,72.5,64.87
1,2564,1086110053,49.11,80.44,64.77
1,2564,1086110045,45,83,64
1,2564,1086110133,74,52,63
1,2564,1086110067,54.43,70.59,62.51
1,2564,1086110079,65.52,58.96,62.24
1,2564,1086110061,59.75,61.25,60.5
1,2564,1086110060,59,59.8,59.4
1,2564,1086110042,51.75,64.5,58.12
1,2564,1086110038,45.86,70,57.93
1,2564,1086110113,49.69,61.53,55.61
1,2564,1086110131,49.71,57.14,53.42
1,2564,1086110064,48.66,48.33,48.5
1,2564,1086110099,44.3,52.3,48.3
1,2564,1086110009,35.42,58.85,47.14
1,2564,1086110026,39.66,53.33,46.5
1,2564,1086110096,46.48,46.34,46.41
1,2564,1086110120,19.33,45.2,32.26
1,2564,1086110078,4.66,36.66,20.66
