1086110058,บ้านคลองสูบ,เมืองชุมพร,กลาง,62.11,62.11,63.5,63.5,62.8,62.8,ดี,ดี,ดี
1086110059,บ้านเขาชันโต๊ะ,เมืองชุมพร,กลาง,72.25,72.25,65.31,65.31,68.78,68.78,ดีมาก,ดี,ดีมาก
1086110060,บ้านเขาบ่อ,เมืองชุมพร,กลาง,55,55,60.9,60.9,57.95,57.95,ดี,ดี,ดี
1086110061,ชุมชนบ้านถ้ำสิงห์,เมืองชุมพร,กลาง,35,35,46.78,46.78,40.89,40.89,พอใช้,พอใช้,พอใช้
1086110063,บ้านเขาวง,เมืองชุมพร,กลาง,37.06,37.06,56.21,56.21,46.64,46.64,พอใช้,ดี,พอใช้
1086110064,วัดขุนกระทิง,เมืองชุมพร,เล็ก,42.16,42.16,41,41,41.58,41.58,พอใช้,พอใช้,พอใช้
1086110065,บ้านในห้วย,เมืองชุมพร,เล็ก,34,34,47.5,47.5,40.75,40.75,พอใช้,พอใช้,พอใช้
1086110067,บ้านเขายาวราษฎร์พัฒนา,เมืองชุมพร,กลาง,57.83,57.83,50.91,50.91,54.37,54.37,ดี,ดี,ดี
1086110068,บ้านกลาง,ท่าแซะ,เล็ก,76.76,76.76,90.34,90.34,83.55,83.55,ดีมาก,ดีมาก,ดีมาก
1086110069,บ้านบึงลัด,ท่าแซะ,กลาง,74.58,74.58,75.52,75.52,75.05,75.05,ดีมาก,ดีมาก,ดีมาก
1086110070,ประชานิคม 4,ท่าแซะ,กลาง,78.78,78.78,74.73,74.73,76.76,76.76,ดีมาก,ดีมาก,ดีมาก
1086110071,บ้านยายไท,ท่าแซะ,เล็ก,80.87,80.87,85.68,85.68,83.28,83.28,ดีมาก,ดีมาก,ดีมาก
1086110072,ชุมชนบ้านคุริง (มิตรภาพที่ 25),ท่าแซะ,กลาง,62.4,62.4,69.83,69.83,66.11,66.11,ดี,ดี,ดี
1086110073,บ้านใหม่พัฒนา,ท่าแซะ,เล็ก,16.5,16.5,34.5,34.5,25.5,25.5,ปรับปรุง,พอใช้,ปรับปรุง
1086110074,ประชานิคม 2,ท่าแซะ,กลาง,41.44,41.44,62.94,62.94,52.19,52.19,พอใช้,ดี,ดี
1086110076,บ้านธรรมเจริญ,ท่าแซะ,กลาง,69.5,69.5,73.97,73.97,71.73,71.73,ดีมาก,ดีมาก,ดีมาก
1086110077,บ้านเหมืองทอง,ท่าแซะ,เล็ก,83.69,83.69,81.15,81.15,82.42,82.42,ดีมาก,ดีมาก,ดีมาก
1086110079,บ้านหนองเรือ,ท่าแซะ,กลาง,30.1,30.1,45.39,45.39,37.75,37.75,พอใช้,พอใช้,พอใช้
1086110080,บ้านหัวว่าว,ท่าแซะ,เล็ก,72.83,72.83,75.83,75.83,74.33,74.33,ดีมาก,ดีมาก,ดีมาก
1086110081,บ้านหาดหงส์,ท่าแซะ,เล็ก,31.5,31.5,37.16,37.16,34.33,34.33,พอใช้,พอใช้,พอใช้
1086110083,บ้านหาดส้มแป้น,ท่าแซะ,กลาง,49.58,49.58,68,68,58.79,58.79,ดี,ดี,ดี
1086110084,บ้านแก่งเพกา,ท่าแซะ,เล็ก,76.66,76.66,81.5,81.5,79.08,79.08,ดีมาก,ดีมาก,ดีมาก
1086110085,อนุบาลท่าแซะ,ท่าแซะ,กลาง,47.94,47.94,59.55,59.55,53.75,53.75,ดี,ดี,ดี
1086110087,ไทยรัฐวิทยา 77(บ้านเนินสันติ),ท่าแซะ,ใหญ่,41.87,41.87,47.81,47.81,44.84,44.84,พอใช้,พอใช้,พอใช้
1086110089,ชุมชนประชานิคม,ท่าแซะ,กลาง,37.61,37.61,48.35,48.35,42.98,42.98,พอใช้,พอใช้,พอใช้
1086110093,บ้านละมุ,ท่าแซะ,เล็ก,42,42,55.16,55.16,48.58,48.58,พอใช้,ดี,ดี
1086110096,บ้านดอนเคี่ยม,ท่าแซะ,กลาง,70.07,70.07,65.25,65.25,67.66,67.66,ดีมาก,ดี,ดี
1086110097,บ้านจันทึง,ท่าแซะ,กลาง,41.84,41.84,56.88,56.88,49.36,49.36,พอใช้,ดี,ดี
1086110098,บ้านรับร่อ,ท่าแซะ,เล็ก,33.33,33.33,46.66,46.66,40,40,พอใช้,พอใช้,พอใช้
1086110099,บ้านหินแก้ว,ท่าแซะ,เล็ก,52.33,52.33,50.83,50.83,51.58,51.58,ดี,ดี,ดี
1086110100,บ้านหาดใน,ท่าแซะ,กลาง,45.15,45.15,52.23,52.23,48.69,48.69,ดี,ดี,ดี
1086110101,บ้านน้ำเย็น,ท่าแซะ,กลาง,63.5,63.5,46.29,46.29,54.89,54.89,ดี,พอใช้,ดี
1086110102,บ้านงาช้าง,ท่าแซะ,กลาง,82.2,82.2,71.55,71.55,76.87,76.87,ดีมาก,ดีมาก,ดีมาก
1086110103,บ้านคันธทรัพย์,ท่าแซะ,กลาง,84.87,84.87,94.66,94.66,89.77,89.77,ดีมาก,ดีมาก,ดีมาก
1086110104,บ้านเนินทอง,ท่าแซะ,กลาง,86.64,86.64,87.16,87.16,86.9,86.9,ดีมาก,ดีมาก,ดีมาก
1086110105,บ้านใหม่สมบูรณ์,ท่าแซะ,กลาง,63,63,75.91,75.91,69.45,69.45,ดี,ดีมาก,ดีมาก
1086110106,บ้านพรุตะเคียน,ท่าแซะ,กลาง,84.6,84.6,85.66,85.66,85.13,85.13,ดีมาก,ดีมาก,ดีมาก
1086110107,ประชาพัฒนา,ท่าแซะ,เล็ก,88.88,88.88,80.88,80.88,84.88,84.88,ดีมาก,ดีมาก,ดีมาก
1086110108,บ้านร้านตัดผม,ท่าแซะ,กลาง,35.58,35.58,52.38,52.38,43.98,43.98,พอใช้,ดี,พอใช้
1086110109,บ้านสวนทรัพย์,ท่าแซะ,เล็ก,73,73,76.83,76.83,74.91,74.91,ดีมาก,ดีมาก,ดีมาก
1086110110,บ้านตาหงษ์,ท่าแซะ,เล็ก,82.77,82.77,83.44,83.44,83.11,83.11,ดีมาก,ดีมาก,ดีมาก
1086110111,บ้านทรายขาว,ท่าแซะ,กลาง,39.55,39.55,64.62,64.62,52.08,52.08,พอใช้,ดี,ดี
