8601,2560,86010001,54.46,30.83,28.68,39.17,38.29,2,32,-1.68,1.16,-0.93
8601,2560,86010002,39.83,30.00,17.08,25.83,28.19,5,80,-11.78,-8.94,-11.03
8601,2560,86010004,49.2,27.14,29.29,31.96,34.40,3,56,-5.57,-2.73,-4.82
8601,2560,86010006,67.5,27.50,45.88,63.75,51.16,1,1,11.19,14.03,11.94
8601,2560,86010008,61.03,33.32,41.51,49.83,46.42,2,3,6.45,9.29,7.20
8601,2560,86010009,54.52,31.13,39.07,45.76,42.62,1,11,2.65,5.49,3.40
8601,2560,86010010,36.1,21.15,29.07,26.92,28.31,4,78,-11.66,-8.82,-10.91
8601,2560,86010011,55.38,30.00,36.28,42.92,41.15,1,15,1.18,4.02,1.93
8601,2560,86010013,49.71,23.93,34.36,29.82,34.46,4,55,-5.51,-2.67,-4.76
8601,2560,86010014,63.93,25.00,37.43,57.86,46.06,1,5,6.09,8.93,6.84
8601,2560,86010015,37.67,15.00,37.35,25.00,28.76,6,76,-11.21,-8.37,-10.46
8601,2560,86010016,47.83,30.00,30.58,23.33,32.94,5,62,-7.03,-4.19,-6.28
8601,2560,86010017,41.04,23.33,30.69,26.25,30.33,7,72,-9.64,-6.80,-8.89
8601,2560,86010019,60.19,26.67,37.71,41.67,41.56,2,13,1.59,4.43,2.34
8601,2560,86010020,52.5,28.33,32.28,45.00,39.53,3,22,-0.44,2.40,0.31
8601,2560,86010021,46.65,17.00,26.08,36.50,31.56,6,67,-8.41,-5.57,-7.66
8601,2560,86010023,43.45,27.00,40.63,30.50,35.40,4,47,-4.57,-1.73,-3.82
8601,2560,86010024,63.75,15.00,48.10,30.00,39.21,2,25,-0.76,2.08,-0.01
8601,2560,86010025,53.89,26.36,30.03,39.77,37.51,2,38,-2.46,0.38,-1.71
8601,2560,86010027,46.87,22.89,33.47,30.00,33.31,5,60,-6.66,-3.82,-5.91
8601,2560,86010029,49.53,28.18,34.26,27.05,34.76,3,50,-5.21,-2.37,-4.46
8601,2560,86010030,57.92,18.33,35.65,26.67,34.64,3,52,-5.33,-2.49,-4.58
8601,2560,86010032,56.75,15.00,40.90,30.00,35.66,3,46,-4.31,-1.47,-3.56
8601,2560,86010036,60,35.00,25.95,75.00,48.99,1,2,9.02,11.86,9.77
8601,2560,86010037,46.5,30.00,11.40,25.00,28.23,4,79,-11.74,-8.90,-10.99
8601,2560,86010039,41.38,17.50,35.78,26.25,30.23,4,73,-9.74,-6.90,-8.99
8601,2560,86010040,47.88,27.50,31.85,31.67,34.73,4,51,-5.24,-2.40,-4.49
8601,2560,86010041,59.75,27.50,23.40,27.50,34.54,5,53,-5.43,-2.59,-4.68
8601,2560,86010042,54.81,28.75,39.09,29.38,38.01,3,35,-1.96,0.88,-1.21
8601,2560,86010043,40.19,20.56,29.33,27.78,29.47,6,75,-10.50,-7.66,-9.75
8601,2560,86010044,58.18,27.00,32.72,34.50,38.10,2,34,-1.87,0.97,-1.12
8601,2560,86010045,62.33,25.00,31.43,33.75,38.13,1,33,-1.84,1.00,-1.09
8601,2560,86010046,37.46,20.00,28.59,27.92,28.49,9,77,-11.48,-8.64,-10.73
8601,2560,86010047,54.41,22.50,33.85,34.38,36.29,4,42,-3.68,-0.84,-2.93
8601,2560,86010048,44.5,40.00,34.20,35.00,38.43,2,31,-1.54,1.30,-0.79
8601,2560,86010052,48.5,16.43,29.21,30.36,31.13,8,69,-8.84,-6.00,-8.09
8601,2560,86010053,45.54,22.50,38.02,24.38,32.61,6,63,-7.36,-4.52,-6.61
8601,2560,86010055,65.25,30.00,34.94,34.00,41.05,2,16,1.08,3.92,1.83
8601,2560,86010056,49.56,29.83,39.05,37.78,39.06,5,27,-0.91,1.93,-0.16
8601,2560,86010059,54.34,25.94,38.71,41.93,40.23,3,17,0.26,3.10,1.01
8601,2560,86010060,62.46,31.43,40.69,25.71,40.07,2,19,0.10,2.94,0.85
8601,2560,86010061,61.44,28.33,40.90,46.88,44.39,1,8,4.42,7.26,5.17
8601,2560,86010062,62,23.33,34.82,36.67,39.21,3,26,-0.76,2.08,-0.01
8601,2560,86010063,49.77,20.36,33.99,30.18,33.58,5,59,-6.39,-3.55,-5.64
8601,2560,86010064,48.84,23.13,42.32,29.06,35.84,4,44,-4.13,-1.29,-3.38
8601,2560,86010066,67.58,31.67,38.83,40.83,44.73,1,7,4.76,7.60,5.51
8601,2560,86010068,52.36,24.29,33.27,25.71,33.91,7,58,-6.06,-3.22,-5.31
8601,2560,86010069,59.96,22.50,35.02,33.75,37.81,3,36,-2.16,0.68,-1.41
8601,2560,86010070,54.54,23.00,35.86,28.13,35.38,6,48,-4.59,-1.75,-3.84
8601,2560,86010071,46.91,25.63,33.93,31.56,34.51,7,54,-5.46,-2.62,-4.71
8601,2560,86010072,53.98,24.50,34.23,30.50,35.80,6,45,-4.17,-1.33,-3.42
8601,2560,86010073,39.88,21.25,32.28,31.25,31.17,9,68,-8.80,-5.96,-8.05
8601,2560,86010075,56.57,22.27,39.47,39.32,39.41,4,23,-0.56,2.28,0.19
8601,2560,86010076,31.5,20.00,23.08,25.00,24.90,10,81,-15.07,-12.23,-14.32
8601,2560,86010077,48.3,25.00,29.75,29.00,33.01,8,61,-6.96,-4.12,-6.21
8601,2560,86010078,60,35.00,38.93,31.25,41.30,1,14,1.33,4.17,2.08
8601,2560,86010079,48.55,28.00,31.27,37.00,36.21,5,43,-3.76,-0.92,-3.01
8601,2560,86010080,38.98,24.17,27.90,27.08,29.53,8,74,-10.44,-7.60,-9.69
8601,2560,86010083,58.88,28.57,36.16,36.61,40.06,2,20,0.09,2.93,0.84
8601,2560,86010089,44.45,31.00,42.28,31.50,37.31,3,40,-2.66,0.18,-1.91
8601,2560,86010090,49.11,22.78,31.16,26.11,32.29,6,64,-7.68,-4.84,-6.93
8601,2560,86010091,49.23,26.00,37.29,28.50,35.26,4,49,-4.71,-1.87,-3.96
