3,2566,86010001,53.75,74,63.87,??,?????,??
3,2566,86010002,54.62,74.5,64.56,??,?????,??
3,2566,86010004,55.57,69.92,62.75,??,??,??
3,2566,86010006,51.3,66.2,58.75,??,??,??
3,2566,86010008,62.49,68.85,65.67,??,??,??
3,2566,86010009,49.8,56.5,53.15,??,??,??
3,2566,86010010,30.69,50.24,40.47,?????,??,?????
3,2566,86010011,64,64.25,64.12,??,??,??
3,2566,86010013,77.57,71,74.28,?????,?????,?????
3,2566,86010014,71.25,57.87,64.56,?????,??,??
3,2566,86010015,22,38.7,30.35,????????,?????,?????
3,2566,86010016,37.2,57.3,47.25,?????,??,??
3,2566,86010017,56,80.58,68.29,??,?????,??
3,2566,86010019,65,73,69,??,?????,?????
3,2566,86010020,36.8,52.9,44.85,?????,??,?????
3,2566,86010021,38.6,56.37,47.49,?????,??,??
3,2566,86010023,45.08,63.66,54.37,??,??,??
3,2566,86010024,41,54.45,47.72,?????,??,??
3,2566,86010025,71.62,69.25,70.43,?????,??,?????
3,2566,86010027,48.8,69.65,59.22,??,??,??
3,2566,86010029,46.66,49.66,48.16,??,??,??
3,2566,86010030,67.75,55.37,61.56,?????,??,??
3,2566,86010032,46.75,63,54.87,??,??,??
3,2566,86010036,36,54.16,45.08,?????,??,?????
3,2566,86010037,33.33,58.58,45.95,?????,??,?????
3,2566,86010039,76.6,76.7,76.65,?????,?????,?????
3,2566,86010040,31.14,50.14,40.64,?????,??,?????
3,2566,86010041,62.9,64.85,63.87,??,??,??
3,2566,86010042,40.8,56.7,48.75,?????,??,??
3,2566,86010043,60.4,73.7,67.05,??,?????,??
3,2566,86010044,39.82,50.26,45.04,?????,??,?????
3,2566,86010045,82.25,82.25,82.25,?????,?????,?????
3,2566,86010046,35.62,51.25,43.43,?????,??,?????
3,2566,86010047,25.58,33.93,29.76,?????,?????,?????
3,2566,86010048,38.6,60.3,49.45,?????,??,??
3,2566,86010052,63.6,68.3,65.95,??,??,??
3,2566,86010053,51.5,66.85,59.17,??,??,??
3,2566,86010055,28.09,42.77,35.43,?????,?????,?????
3,2566,86010056,28.35,37.03,32.69,?????,?????,?????
3,2566,86010059,81.85,67.42,74.64,?????,??,?????
3,2566,86010060,41.85,61.42,51.64,?????,??,??
3,2566,86010061,49.75,44.75,47.25,??,?????,??
3,2566,86010062,31.5,55.45,43.47,?????,??,?????
3,2566,86010063,23.55,50.5,37.02,????????,??,?????
3,2566,86010064,60.11,85.66,72.88,??,?????,?????
3,2566,86010066,75.33,68,71.66,?????,??,?????
3,2566,86010068,35,56.64,45.82,?????,??,?????
3,2566,86010069,32.5,59.1,45.8,?????,??,?????
3,2566,86010070,33.29,59.7,46.5,?????,??,??
3,2566,86010071,56.85,56.92,56.89,??,??,??
3,2566,86010072,73.75,80,76.87,?????,?????,?????
3,2566,86010073,67.6,64.2,65.9,?????,??,??
3,2566,86010075,40.5,25.25,32.87,?????,????????,?????
3,2566,86010076,34.31,53.21,43.76,?????,??,?????
3,2566,86010077,67.62,84.75,76.18,?????,?????,?????
3,2566,86010078,67.11,91.83,79.47,?????,?????,?????
3,2566,86010079,45.26,63.14,54.2,??,??,??
3,2566,86010080,60.22,73.77,67,??,?????,??
3,2566,86010083,41.53,57.87,49.7,?????,??,??
3,2566,86010089,57.6,62.4,60,??,??,??
3,2566,86010090,49.59,93.54,71.56,??,?????,?????
3,2566,86010091,89.14,86.14,87.64,?????,?????,?????
3,2566,86010092,44.18,61.88,53.03,?????,??,??
3,2566,86010093,46.23,50.58,48.41,??,??,??
3,2566,86010094,89,87.92,88.46,?????,?????,?????
3,2566,86010095,52.5,79.03,65.76,??,?????,??
3,2566,86010096,69.79,84.98,77.38,?????,?????,?????
3,2566,86010097,80.4,88.3,84.35,?????,?????,?????
3,2566,86010098,85.56,86.4,85.98,?????,?????,?????
3,2566,86010099,80.64,89.58,85.11,?????,?????,?????
3,2566,86010100,81.76,80.85,81.3,?????,?????,?????
3,2566,86010101,88,85.25,86.62,?????,?????,?????
3,2566,86010102,35.43,45.6,40.52,?????,?????,?????
3,2566,86010103,60.86,71.43,66.14,??,?????,??
3,2566,86010104,75.28,82.62,78.95,?????,?????,?????
3,2566,86010105,56,58.2,57.1,??,??,??
3,2566,86010106,74.63,89.27,81.95,?????,?????,?????
3,2566,86010107,72.8,86.05,79.42,?????,?????,?????
3,2566,86010108,81.9,82.39,82.15,?????,?????,?????
3,2566,86010109,67,87.55,77.27,?????,?????,?????
3,2566,86010110,19.66,36.33,28,????????,?????,?????
3,2566,86010111,76.63,72.72,74.68,?????,?????,?????
3,2566,86010112,44.42,68.14,56.28,?????,??,??
3,2566,86010113,65.87,70.18,68.03,??,?????,??
3,2566,86010115,23.94,45.64,34.79,????????,?????,?????
3,2566,86010118,57,70.83,63.91,??,?????,??
3,2566,86010119,46.18,56.06,51.12,??,??,??
3,2566,86010120,61.28,70.57,65.92,??,?????,??
3,2566,86010121,20.75,33.12,26.93,????????,?????,?????
3,2566,86010122,23.37,32.68,28.03,????????,?????,?????
3,2566,86010124,60.66,66.66,63.66,??,??,??
3,2566,86010126,78.66,76.16,77.41,?????,?????,?????
3,2566,86010127,64.55,58.55,61.55,??,??,??
3,2566,86010128,47.88,58,52.94,??,??,??
3,2566,86010129,27.2,51,39.1,?????,??,?????
3,2566,86010130,60.2,74.62,67.41,??,?????,??
3,2566,86010131,52.83,54.04,53.43,??,??,??
3,2566,86010132,63.57,58.35,60.96,??,??,??
3,2566,86010133,55.24,64.67,59.96,??,??,??
3,2566,86010134,53.08,57.29,55.18,??,??,??
3,2566,86010136,38.4,61.5,49.95,?????,??,??
3,2566,86010137,28.66,42.75,35.7,?????,?????,?????
3,2566,86010139,44.07,42.75,43.41,?????,?????,?????
3,2566,86010140,34.08,48.12,41.1,?????,??,?????
3,2566,86010142,40.56,58.9,49.73,?????,??,??
3,2566,86010143,67,63.95,65.47,?????,??,??
3,2566,86010145,28,45.8,36.9,?????,?????,?????
