2567-1,86010001,0,0,0,0,2,8,10,1,5,6,11,1,7,14,21,2,12,9,21,1,10,7,17,1,4,7,11,1,4,4,8,1,4,7,11,1,8,8,16,1,42,42,84,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,56,105,"8
"
2567-1,86010002,0,0,0,0,5,9,14,1,8,13,21,1,13,22,35,2,7,10,17,1,8,8,16,1,3,13,16,1,12,7,19,1,10,3,13,1,9,8,17,1,49,49,98,6,10,3,13,1,14,6,20,1,6,6,12,1,30,15,45,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,86,178,"11
"
2567-1,86010004,0,0,0,0,2,2,4,1,2,4,6,1,4,6,10,2,2,1,3,1,2,1,3,1,3,3,6,1,3,4,7,1,6,11,17,1,4,0,4,1,20,20,40,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,26,50,"8
"
2567-1,86010006,0,0,0,0,9,10,19,1,3,7,10,1,12,17,29,2,14,9,23,1,12,6,18,1,3,12,15,1,4,8,12,1,12,3,15,1,9,6,15,1,54,44,98,6,11,12,23,1,22,10,32,1,10,6,16,1,43,28,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,89,198,"11
"
2567-1,86010008,0,0,0,0,91,109,200,7,92,108,200,7,183,217,400,14,153,167,320,9,156,164,320,9,147,173,320,9,153,166,319,9,135,177,312,9,128,138,266,7,872,985,1857,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055,1202,2257,"66
"
2567-1,86010009,6,4,10,1,12,11,23,1,13,10,23,1,31,25,56,3,9,4,13,1,10,2,12,1,9,9,18,1,8,9,17,1,9,11,20,1,14,8,22,1,59,43,102,6,14,15,29,1,21,10,31,1,11,6,17,1,46,31,77,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,99,235,"12
"
2567-1,86010010,0,0,0,0,18,15,33,1,17,14,31,2,35,29,64,3,25,17,42,2,31,14,45,2,22,25,47,2,33,40,73,2,23,26,49,2,28,25,53,2,162,147,309,12,58,37,95,3,42,32,74,3,41,28,69,3,141,97,238,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,273,611,"24
"
2567-1,86010011,0,0,0,0,5,8,13,1,7,2,9,1,12,10,22,2,5,3,8,1,6,4,10,1,5,2,7,1,1,3,4,1,7,4,11,1,6,4,10,1,30,20,50,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,30,72,"8
"
2567-1,86010013,0,0,0,0,9,19,28,1,20,19,39,1,29,38,67,2,45,31,76,2,43,42,85,3,29,17,46,2,18,19,37,2,6,7,13,1,8,10,18,1,149,126,275,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,164,342,"13
"
2567-1,86010014,0,0,0,0,5,5,10,1,5,5,10,1,10,10,20,2,11,10,21,1,14,15,29,1,8,5,13,1,5,4,9,1,6,3,9,1,3,0,3,1,47,37,84,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,47,104,"8
"
2567-1,86010015,1,1,2,1,4,3,7,1,4,6,10,1,9,10,19,3,5,0,5,1,5,4,9,1,2,2,4,1,4,2,6,1,2,3,5,1,3,5,8,1,21,16,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,26,56,"9
"
2567-1,86010016,0,0,0,0,4,6,10,1,5,8,13,1,9,14,23,2,4,8,12,1,14,10,24,1,9,6,15,1,6,8,14,1,11,4,15,1,10,9,19,1,54,45,99,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,59,122,"8
"
2567-1,86010017,5,2,7,1,5,5,10,1,9,6,15,1,19,13,32,3,6,7,13,1,3,4,7,1,5,5,10,1,6,3,9,1,3,10,13,1,10,6,16,1,33,35,68,6,7,8,15,1,7,3,10,1,8,8,16,1,22,19,41,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,67,141,"12
"
2567-1,86010019,4,9,13,1,4,4,8,1,4,6,10,1,12,19,31,3,4,9,13,1,9,8,17,1,3,8,11,1,5,5,10,1,7,5,12,1,12,5,17,1,40,40,80,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,59,111,"9
"
2567-1,86010020,1,3,4,1,6,4,10,1,4,5,9,1,11,12,23,3,3,2,5,1,1,2,3,1,5,5,10,1,3,7,10,1,3,1,4,1,3,3,6,1,18,20,38,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,32,61,"9
"
2567-1,86010021,0,0,0,0,41,35,76,4,62,55,117,4,103,90,193,8,92,73,165,6,80,76,156,6,63,88,151,6,100,87,187,6,90,88,178,6,93,85,178,6,518,497,1015,36,102,82,184,5,91,86,177,5,100,72,172,5,293,240,533,15,57,88,145,4,43,71,114,4,29,42,71,2,0,0,0,0,0,0,0,0,0,0,0,0,129,201,330,10,1043,1028,2071,"69
"
2567-1,86010023,4,6,10,1,6,7,13,1,7,4,11,1,17,17,34,3,2,7,9,1,7,9,16,1,6,7,13,1,7,9,16,1,10,8,18,1,10,6,16,1,42,46,88,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,63,122,"9
"
2567-1,86010024,2,2,4,1,2,6,8,1,8,2,10,1,12,10,22,3,11,10,21,1,5,7,12,1,8,4,12,1,10,8,18,1,6,8,14,1,9,3,12,1,49,40,89,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,50,111,"9
"
