รหัสชั้นเรียน,ปีการศึกษา,รหัสโรงเรียน,ภาษาไทย,คณิตศาสตร์,วิทยาศาสตร์,สังคมศึกษา,ภาษาอังกฤษ,สุขศึกษา,ศิลปะ,การงาน,ค่าเฉลี่ย
6,2559,42010001,54.25,53.75,43.5,,27.5,,,,
9,2559,42010001,51.11,20,29.56,,30,,,,
