2561-3,86010001,0,0,0,0,3,10,13,1,11,7,18,1,14,17,31,2,5,0,5,1,2,4,6,1,8,7,15,1,8,4,12,1,6,5,11,1,3,5,8,1,32,25,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,42,88,8
2561-3,86010002,0,0,0,0,12,2,14,1,8,5,13,1,20,7,27,2,9,7,16,1,9,5,14,1,9,7,16,1,8,11,19,1,7,7,14,1,12,5,17,1,54,42,96,6,10,13,23,1,14,5,19,1,17,13,30,1,41,31,72,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,80,195,11
2561-3,86010004,0,3,3,1,5,12,17,1,2,4,6,1,7,19,26,3,5,1,6,1,4,3,7,1,1,3,4,1,5,3,8,1,0,8,8,1,7,4,11,1,22,22,44,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,41,70,9
2561-3,86010006,0,0,0,0,10,4,14,1,6,3,9,1,16,7,23,2,5,7,12,1,7,8,15,1,10,6,16,1,4,4,8,1,7,6,13,1,6,5,11,1,39,36,75,6,6,5,11,1,7,7,14,1,9,4,13,1,22,16,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,59,136,11
2561-3,86010008,0,0,0,0,86,105,191,7,131,137,268,7,217,242,459,14,147,130,277,7,133,156,289,7,124,150,274,7,150,151,301,7,147,146,293,7,157,148,305,7,858,881,1739,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1075,1123,2198,56
2561-3,86010009,0,0,0,0,6,8,14,1,18,5,23,1,24,13,37,2,5,17,22,1,13,4,17,1,5,6,11,1,10,5,15,1,9,4,13,1,9,10,19,1,51,46,97,6,10,10,20,1,16,5,21,1,6,8,14,1,32,23,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,82,189,11
2561-3,86010010,0,0,0,0,20,30,50,2,27,26,53,2,47,56,103,4,33,27,60,2,34,22,56,2,32,24,56,2,21,24,45,2,38,30,68,2,32,43,75,2,190,170,360,12,55,42,97,3,40,38,78,3,54,48,102,3,149,128,277,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,354,740,25
2561-3,86010011,0,0,0,0,9,3,12,1,7,4,11,1,16,7,23,2,5,2,7,1,5,1,6,1,4,3,7,1,4,1,5,1,5,0,5,1,3,4,7,1,26,11,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,18,60,8
2561-3,86010013,0,0,0,0,5,5,10,1,6,11,17,1,11,16,27,2,6,7,13,1,6,6,12,1,9,7,16,1,11,6,17,1,3,5,8,1,5,6,11,1,40,37,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,53,104,8
2561-3,86010014,0,0,0,0,3,7,10,1,4,2,6,1,7,9,16,2,9,11,20,1,4,7,11,1,7,3,10,1,0,8,8,1,6,1,7,1,4,2,6,1,30,32,62,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,41,78,8
2561-3,86010015,4,2,6,1,4,3,7,1,3,4,7,1,11,9,20,3,7,6,13,1,4,6,10,1,8,6,14,1,3,2,5,1,3,7,10,1,4,3,7,1,29,30,59,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,39,79,9
2561-3,86010016,0,0,0,0,11,6,17,1,9,11,20,1,20,17,37,2,9,4,13,1,10,6,16,1,8,7,15,1,6,9,15,1,6,1,7,1,7,3,10,1,46,30,76,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,47,113,8
2561-3,86010017,5,4,9,1,3,8,11,1,7,3,10,1,15,15,30,3,6,7,13,1,7,3,10,1,7,6,13,1,7,6,13,1,6,3,9,1,10,8,18,1,43,33,76,6,12,10,22,1,13,8,21,1,4,4,8,1,29,22,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,70,157,12
2561-3,86010019,6,6,12,1,7,9,16,1,11,8,19,1,24,23,47,3,9,4,13,1,5,7,12,1,5,8,13,1,3,7,10,1,7,4,11,1,12,1,13,1,41,31,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,54,119,9
2561-3,86010020,2,5,7,1,5,3,8,1,6,3,9,1,13,11,24,3,5,2,7,1,4,8,12,1,6,2,8,1,6,2,8,1,3,2,5,1,5,2,7,1,29,18,47,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,29,71,9
2561-3,86010021,46,38,84,3,59,36,95,4,77,53,130,4,182,127,309,11,102,117,219,6,105,78,183,6,86,92,178,5,99,108,207,5,68,100,168,5,86,91,177,4,546,586,1132,31,73,48,121,3,49,60,109,3,43,55,98,3,165,163,328,9,18,19,37,2,12,42,54,2,18,23,41,2,48,84,132,6,941,960,1901,57
2561-3,86010023,7,5,12,1,7,8,15,1,11,7,18,1,25,20,45,3,6,6,12,1,13,5,18,1,7,8,15,1,8,2,10,1,10,4,14,1,5,11,16,1,49,36,85,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,56,130,9
2561-3,86010024,8,5,13,1,3,5,8,1,6,3,9,1,17,13,30,3,7,4,11,1,6,3,9,1,5,3,8,1,9,4,13,1,3,8,11,1,5,4,9,1,35,26,61,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,39,91,9
2561-3,86010025,4,7,11,1,12,8,20,1,5,8,13,1,21,23,44,3,6,6,12,1,8,5,13,1,14,11,25,1,11,10,21,1,15,13,28,1,10,10,20,1,64,55,119,6,18,11,29,1,4,5,9,1,8,4,12,1,30,20,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,98,213,12
2561-3,86010027,0,0,0,0,19,8,27,1,11,13,24,1,30,21,51,2,20,12,32,1,7,11,18,1,7,1,8,1,12,10,22,1,11,6,17,1,7,11,18,1,64,51,115,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,72,166,8
2561-3,86010029,0,0,0,0,3,2,5,1,3,6,9,1,6,8,14,2,3,4,7,1,5,5,10,1,6,1,7,1,4,4,8,1,2,6,8,1,4,4,8,1,24,24,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,62,8
2561-3,86010030,0,0,0,0,9,5,14,1,8,5,13,1,17,10,27,2,9,2,11,1,5,6,11,1,3,5,8,1,5,4,9,1,6,3,9,1,7,2,9,1,35,22,57,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,32,84,8
2561-3,86010032,0,0,0,0,1,2,3,1,3,2,5,1,4,4,8,2,5,2,7,1,5,1,6,1,5,3,8,1,4,5,9,1,6,3,9,1,0,0,0,0,25,14,39,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,18,47,7
2561-3,86010036,3,1,4,1,3,7,10,1,3,2,5,1,9,10,19,3,4,5,9,1,8,1,9,1,7,6,13,1,4,7,11,1,7,6,13,1,3,1,4,1,33,26,59,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,36,78,9
2561-3,86010037,0,0,0,0,11,11,22,1,6,12,18,1,17,23,40,2,6,5,11,1,12,5,17,1,4,7,11,1,6,8,14,1,9,9,18,1,6,9,15,1,43,43,86,6,15,13,28,1,15,12,27,1,14,3,17,1,44,28,72,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,94,198,11
2561-3,86010039,0,0,0,0,7,4,11,1,5,4,9,1,12,8,20,2,7,4,11,1,5,2,7,1,4,5,9,1,0,6,6,1,3,5,8,1,3,2,5,1,22,24,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,32,66,8
2561-3,86010040,4,1,5,1,6,2,8,1,10,13,23,1,20,16,36,3,11,8,19,1,2,7,9,1,10,13,23,1,12,12,24,1,13,8,21,1,10,18,28,1,58,66,124,6,10,11,21,1,13,11,24,1,13,10,23,1,36,32,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,114,228,12
2561-3,86010041,0,0,0,0,10,7,17,1,20,8,28,1,30,15,45,2,9,8,17,1,9,11,20,1,4,6,10,1,2,2,4,1,7,4,11,1,9,6,15,1,40,37,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,52,122,8
2561-3,86010042,1,0,1,1,6,6,12,1,12,5,17,1,19,11,30,3,10,13,23,1,14,7,21,1,10,6,16,1,10,10,20,1,8,6,14,1,12,9,21,1,64,51,115,6,9,6,15,1,11,6,17,1,12,2,14,1,32,14,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,76,191,12
2561-3,86010043,8,5,13,1,6,7,13,1,7,10,17,1,21,22,43,3,6,14,20,1,8,6,14,1,6,4,10,1,4,5,9,1,6,4,10,1,4,5,9,1,34,38,72,6,8,10,18,1,8,9,17,1,8,5,13,1,24,24,48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,84,163,12
2561-3,86010044,0,0,0,0,37,41,78,2,46,26,72,2,83,67,150,4,43,22,65,2,33,23,56,2,32,29,61,2,33,36,69,2,32,20,52,2,26,32,58,2,199,162,361,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,229,511,16
2561-3,86010045,6,10,16,1,8,7,15,1,6,11,17,1,20,28,48,3,10,10,20,1,2,10,12,1,10,3,13,1,5,5,10,1,1,2,3,1,8,7,15,1,36,37,73,6,4,5,9,1,7,4,11,1,7,6,13,1,18,15,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,80,154,12
2561-3,86010046,0,0,0,0,5,2,7,1,7,3,10,1,12,5,17,2,8,2,10,1,4,4,8,1,5,7,12,1,0,7,7,1,10,6,16,1,5,6,11,1,32,32,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,37,81,8
2561-3,86010047,14,15,29,2,11,10,21,2,26,21,47,2,51,46,97,6,24,26,50,2,20,15,35,2,31,19,50,2,32,15,47,2,22,25,47,2,22,15,37,2,151,115,266,12,19,16,35,1,22,18,40,2,17,13,30,1,58,47,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,208,468,22
